;item_nr;prime;stimulus;target;condition
0;0;arfucht;arfucht;arfucht;non-stem/non-suffix
1;1;baufarf;baufarf;baufarf;non-stem/non-suffix
2;2;beunatz;beunatz;beunatz;non-stem/non-suffix
3;3;belenau;belenau;belenau;non-stem/non-suffix
4;4;bottarf;bottarf;bottarf;non-stem/non-suffix
5;5;blatzpern;blatzpern;blatzpern;non-stem/non-suffix
6;6;bletam;bletam;bletam;non-stem/non-suffix
7;7;bliefmen;bliefmen;bliefmen;non-stem/non-suffix
8;8;bromarf;bromarf;bromarf;non-stem/non-suffix
9;9;blustekt;blustekt;blustekt;non-stem/non-suffix
10;10;bumarf;bumarf;bumarf;non-stem/non-suffix
11;11;duchpfen;duchpfen;duchpfen;non-stem/non-suffix
12;12;eusmen;eusmen;eusmen;non-stem/non-suffix
13;13;faldatz;faldatz;faldatz;non-stem/non-suffix
14;14;filtarf;filtarf;filtarf;non-stem/non-suffix
15;15;flusucht;flusucht;flusucht;non-stem/non-suffix
16;16;flerpern;flerpern;flerpern;non-stem/non-suffix
17;17;gosichtarf;gosichtarf;gosichtarf;non-stem/non-suffix
18;18;gestenstpern;gestenstpern;gestenstpern;non-stem/non-suffix
19;19;holtarf;holtarf;holtarf;non-stem/non-suffix
20;20;holmat;holmat;holmat;non-stem/non-suffix
21;21;hehnam;hehnam;hehnam;non-stem/non-suffix
22;22;hondat;hondat;hondat;non-stem/non-suffix
23;23;kelsmen;kelsmen;kelsmen;non-stem/non-suffix
24;24;kertmen;kertmen;kertmen;non-stem/non-suffix
25;25;korfekt;korfekt;korfekt;non-stem/non-suffix
26;26;lechucht;lechucht;lechucht;non-stem/non-suffix
27;27;luptucht;luptucht;luptucht;non-stem/non-suffix
28;28;maunpern;maunpern;maunpern;non-stem/non-suffix
29;29;mulcharf;mulcharf;mulcharf;non-stem/non-suffix
30;30;moldatz;moldatz;moldatz;non-stem/non-suffix
31;31;nechtatz;nechtatz;nechtatz;non-stem/non-suffix
32;32;nonstarf;nonstarf;nonstarf;non-stem/non-suffix
33;33;parmarf;parmarf;parmarf;non-stem/non-suffix
34;34;pfeldam;pfeldam;pfeldam;non-stem/non-suffix
35;35;pulktam;pulktam;pulktam;non-stem/non-suffix
36;36;ridam;ridam;ridam;non-stem/non-suffix
37;37;rachtmen;rachtmen;rachtmen;non-stem/non-suffix
38;38;saktmen;saktmen;saktmen;non-stem/non-suffix
39;39;sarducht;sarducht;sarducht;non-stem/non-suffix
40;40;schetzarf;schetzarf;schetzarf;non-stem/non-suffix
41;41;sintau;sintau;sintau;non-stem/non-suffix
42;42;smurnauf;smurnauf;smurnauf;non-stem/non-suffix
43;43;steunam;steunam;steunam;non-stem/non-suffix
44;44;stirmatz;stirmatz;stirmatz;non-stem/non-suffix
45;45;tafucht;tafucht;tafucht;non-stem/non-suffix
46;46;teplichatz;teplichatz;teplichatz;non-stem/non-suffix
47;47;tescharf;tescharf;tescharf;non-stem/non-suffix
48;48;tolfekt;tolfekt;tolfekt;non-stem/non-suffix
49;49;tunfelau;tunfelau;tunfelau;non-stem/non-suffix
50;50;wardekt;wardekt;wardekt;non-stem/non-suffix
51;51;woltekt;woltekt;woltekt;non-stem/non-suffix
52;52;wisducht;wisducht;wisducht;non-stem/non-suffix
53;53;wetzarf;wetzarf;wetzarf;non-stem/non-suffix
54;54;wolpat;wolpat;wolpat;non-stem/non-suffix
55;55;wostpern;wostpern;wostpern;non-stem/non-suffix
56;56;zuhnarf;zuhnarf;zuhnarf;non-stem/non-suffix
57;57;zeilam;zeilam;zeilam;non-stem/non-suffix
58;58;zelpat;zelpat;zelpat;non-stem/non-suffix
59;59;arfbar;arfbar;arfbar;non-stem/suffix
60;60;baufkeit;baufkeit;baufkeit;non-stem/suffix
61;61;beunbar;beunbar;beunbar;non-stem/suffix
62;62;belenkeit;belenkeit;belenkeit;non-stem/suffix
63;63;botter;botter;botter;non-stem/suffix
64;64;blatzkeit;blatzkeit;blatzkeit;non-stem/suffix
65;65;blethaft;blethaft;blethaft;non-stem/suffix
66;66;bliefkeit;bliefkeit;bliefkeit;non-stem/suffix
67;67;bromhaft;bromhaft;bromhaft;non-stem/suffix
68;68;bluster;bluster;bluster;non-stem/suffix
69;69;bumung;bumung;bumung;non-stem/suffix
70;70;ducher;ducher;ducher;non-stem/suffix
71;71;eusbar;eusbar;eusbar;non-stem/suffix
72;72;faldbar;faldbar;faldbar;non-stem/suffix
73;73;filthaft;filthaft;filthaft;non-stem/suffix
74;74;fluskeit;fluskeit;fluskeit;non-stem/suffix
75;75;flerbar;flerbar;flerbar;non-stem/suffix
76;76;gosichtkeit;gosichtkeit;gosichtkeit;non-stem/suffix
77;77;gestenstkeit;gestenstkeit;gestenstkeit;non-stem/suffix
78;78;holtkeit;holtkeit;holtkeit;non-stem/suffix
79;79;holmung;holmung;holmung;non-stem/suffix
80;80;hehnbar;hehnbar;hehnbar;non-stem/suffix
81;81;hondung;hondung;hondung;non-stem/suffix
82;82;kelsbar;kelsbar;kelsbar;non-stem/suffix
83;83;kertbar;kertbar;kertbar;non-stem/suffix
84;84;korfkeit;korfkeit;korfkeit;non-stem/suffix
85;85;lechkeit;lechkeit;lechkeit;non-stem/suffix
86;86;luptkeit;luptkeit;luptkeit;non-stem/suffix
87;87;maunkeit;maunkeit;maunkeit;non-stem/suffix
88;88;mulchkeit;mulchkeit;mulchkeit;non-stem/suffix
89;89;moldkeit;moldkeit;moldkeit;non-stem/suffix
90;90;nechter;nechter;nechter;non-stem/suffix
91;91;nonstung;nonstung;nonstung;non-stem/suffix
92;92;parmbar;parmbar;parmbar;non-stem/suffix
93;93;pfeldung;pfeldung;pfeldung;non-stem/suffix
94;94;pulktkeit;pulktkeit;pulktkeit;non-stem/suffix
95;95;ridkeit;ridkeit;ridkeit;non-stem/suffix
96;96;rachtbar;rachtbar;rachtbar;non-stem/suffix
97;97;saktung;saktung;saktung;non-stem/suffix
98;98;sardung;sardung;sardung;non-stem/suffix
99;99;schetzung;schetzung;schetzung;non-stem/suffix
100;100;sintung;sintung;sintung;non-stem/suffix
101;101;smurkeit;smurkeit;smurkeit;non-stem/suffix
102;102;steunung;steunung;steunung;non-stem/suffix
103;103;stirmbar;stirmbar;stirmbar;non-stem/suffix
104;104;tafbar;tafbar;tafbar;non-stem/suffix
105;105;teplichbar;teplichbar;teplichbar;non-stem/suffix
106;106;teschkeit;teschkeit;teschkeit;non-stem/suffix
107;107;tolfbar;tolfbar;tolfbar;non-stem/suffix
108;108;tunfelung;tunfelung;tunfelung;non-stem/suffix
109;109;wardbar;wardbar;wardbar;non-stem/suffix
110;110;woltkeit;woltkeit;woltkeit;non-stem/suffix
111;111;wisdbar;wisdbar;wisdbar;non-stem/suffix
112;112;wetzkeit;wetzkeit;wetzkeit;non-stem/suffix
113;113;wolphaft;wolphaft;wolphaft;non-stem/suffix
114;114;wosthaft;wosthaft;wosthaft;non-stem/suffix
115;115;zuhner;zuhner;zuhner;non-stem/suffix
116;116;zeilbar;zeilbar;zeilbar;non-stem/suffix
117;117;zelpkeit;zelpkeit;zelpkeit;non-stem/suffix
118;118;armucht;armucht;armucht;stem/non-suffix
119;119;baumarf;baumarf;baumarf;stem/non-suffix
120;120;beinatz;beinatz;beinatz;stem/non-suffix
121;121;besenau;besenau;besenau;stem/non-suffix
122;122;bettarf;bettarf;bettarf;stem/non-suffix
123;123;blitzpern;blitzpern;blitzpern;stem/non-suffix
124;124;blutam;blutam;blutam;stem/non-suffix
125;125;briefmen;briefmen;briefmen;stem/non-suffix
126;126;brotarf;brotarf;brotarf;stem/non-suffix
127;127;brustekt;brustekt;brustekt;stem/non-suffix
128;128;busarf;busarf;busarf;stem/non-suffix
129;129;dachpfen;dachpfen;dachpfen;stem/non-suffix
130;130;eismen;eismen;eismen;stem/non-suffix
131;131;feldatz;feldatz;feldatz;stem/non-suffix
132;132;filmarf;filmarf;filmarf;stem/non-suffix
133;133;flugucht;flugucht;flugucht;stem/non-suffix
134;134;flurpern;flurpern;flurpern;stem/non-suffix
135;135;gesichtarf;gesichtarf;gesichtarf;stem/non-suffix
136;136;gespenstpern;gespenstpern;gespenstpern;stem/non-suffix
137;137;haltarf;haltarf;haltarf;stem/non-suffix
138;138;holzat;holzat;holzat;stem/non-suffix
139;139;huhnam;huhnam;huhnam;stem/non-suffix
140;140;hundat;hundat;hundat;stem/non-suffix
141;141;keksmen;keksmen;keksmen;stem/non-suffix
142;142;kerlmen;kerlmen;kerlmen;stem/non-suffix
143;143;kopfekt;kopfekt;kopfekt;stem/non-suffix
144;144;lochucht;lochucht;lochucht;stem/non-suffix
145;145;luftucht;luftucht;luftucht;stem/non-suffix
146;146;mauspern;mauspern;mauspern;stem/non-suffix
147;147;milcharf;milcharf;milcharf;stem/non-suffix
148;148;mondatz;mondatz;mondatz;stem/non-suffix
149;149;nachtatz;nachtatz;nachtatz;stem/non-suffix
150;150;nestarf;nestarf;nestarf;stem/non-suffix
151;151;parkarf;parkarf;parkarf;stem/non-suffix
152;152;pferdam;pferdam;pferdam;stem/non-suffix
153;153;punktam;punktam;punktam;stem/non-suffix
154;154;radam;radam;radam;stem/non-suffix
155;155;rechtmen;rechtmen;rechtmen;stem/non-suffix
156;156;saftmen;saftmen;saftmen;stem/non-suffix
157;157;sanducht;sanducht;sanducht;stem/non-suffix
158;158;schatzarf;schatzarf;schatzarf;stem/non-suffix
159;159;sinnau;sinnau;sinnau;stem/non-suffix
160;160;spurnauf;spurnauf;spurnauf;stem/non-suffix
161;161;steinam;steinam;steinam;stem/non-suffix
162;162;stirnatz;stirnatz;stirnatz;stem/non-suffix
163;163;tagucht;tagucht;tagucht;stem/non-suffix
164;164;teppichatz;teppichatz;teppichatz;stem/non-suffix
165;165;tischarf;tischarf;tischarf;stem/non-suffix
166;166;topfekt;topfekt;topfekt;stem/non-suffix
167;167;tunnelau;tunnelau;tunnelau;stem/non-suffix
168;168;wandekt;wandekt;wandekt;stem/non-suffix
169;169;weltekt;weltekt;weltekt;stem/non-suffix
170;170;winducht;winducht;winducht;stem/non-suffix
171;171;witzarf;witzarf;witzarf;stem/non-suffix
172;172;wolfat;wolfat;wolfat;stem/non-suffix
173;173;wortpern;wortpern;wortpern;stem/non-suffix
174;174;zahnarf;zahnarf;zahnarf;stem/non-suffix
175;175;zeitam;zeitam;zeitam;stem/non-suffix
176;176;zeltat;zeltat;zeltat;stem/non-suffix
177;177;zugat;zugat;zugat;stem/non-suffix
178;178;armbar;armbar;armbar;stem/suffix
179;179;baumkeit;baumkeit;baumkeit;stem/suffix
180;180;beinbar;beinbar;beinbar;stem/suffix
181;181;besenkeit;besenkeit;besenkeit;stem/suffix
182;182;better;better;better;stem/suffix
183;183;blitzkeit;blitzkeit;blitzkeit;stem/suffix
184;184;bluthaft;bluthaft;bluthaft;stem/suffix
185;185;briefkeit;briefkeit;briefkeit;stem/suffix
186;186;brothaft;brothaft;brothaft;stem/suffix
187;187;bruster;bruster;bruster;stem/suffix
188;188;busung;busung;busung;stem/suffix
189;189;dacher;dacher;dacher;stem/suffix
190;190;eisbar;eisbar;eisbar;stem/suffix
191;191;feldbar;feldbar;feldbar;stem/suffix
192;192;filmhaft;filmhaft;filmhaft;stem/suffix
193;193;flugkeit;flugkeit;flugkeit;stem/suffix
194;194;flurbar;flurbar;flurbar;stem/suffix
195;195;gesichtkeit;gesichtkeit;gesichtkeit;stem/suffix
196;196;gespenstkeit;gespenstkeit;gespenstkeit;stem/suffix
197;197;haltkeit;haltkeit;haltkeit;stem/suffix
198;198;holzung;holzung;holzung;stem/suffix
199;199;huhnbar;huhnbar;huhnbar;stem/suffix
200;200;hundung;hundung;hundung;stem/suffix
201;201;keksbar;keksbar;keksbar;stem/suffix
202;202;kerlbar;kerlbar;kerlbar;stem/suffix
203;203;kopfkeit;kopfkeit;kopfkeit;stem/suffix
